l=3, p=36, p2=24, z=3.1556736384035142, z2=3.4186624118047217, w=0.0010692428513717172, w2=0.0010039099219931286, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=25, p2=36, z=3.432415524516315, z2=0.8200847178900338, w=0.001025241542954074, w2=0.0010636957504157447, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=40, p2=23, z=1.7861481898338285, z2=1.0643394723111814, w=0.001028500372995103, w2=0.001073116986128614, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=27, p2=35, z=2.601250361478625, z2=1.7300433935847153, w=0.0010609129510337646, w2=0.0010348751030240131, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=39, p2=22, z=3.473798025665668, z2=1.6110684446931764, w=0.0010083459605142377, w2=0.0010139211077173982, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=29, p2=32, z=1.7570197251734603, z2=1.7037039672199263, w=0.0010387378976831863, w2=0.0010338247225614328, val_np=(nan+nanj), val_jax=(-0+0j)
l=-2, p=33, p2=28, z=1.6903169355888705, z2=2.0593451690198084, w=0.0010988397249017683, w2=0.0010329314855007966, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=32, p2=28, z=3.508917000203248, z2=2.6309215096603156, w=0.001093684948109255, w2=0.0010248231174063535, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=24, p2=38, z=1.370677525313557, z2=3.6096983195250845, w=0.0010073901781928354, w2=0.0010462732824953057, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=35, p2=25, z=3.4964447386632878, z2=1.983891818415677, w=0.001079794975170316, w2=0.0010402298099276928, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=35, p2=27, z=1.840056179082616, z2=3.775665470051157, w=0.0010508072376050799, w2=0.001091032243847382, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=38, p2=24, z=1.7592106828582819, z2=3.857273416941345, w=0.001053557622600564, w2=0.001032898626550283, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=26, p2=35, z=3.5363315380667872, z2=0.6449792525834717, w=0.0010024164261007596, w2=0.0010383120121899127, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=39, p2=24, z=2.3394853530950743, z2=2.114260174370811, w=0.0010434956132405828, w2=0.001075201080024396, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=24, p2=39, z=0.3366524341382907, z2=1.4448434085090813, w=0.0010379896949717045, w2=0.0010636926441244538, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=39, p2=21, z=0.5665680048519625, z2=1.8155585503412013, w=0.0010464496378665426, w2=0.0010830300388824975, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=38, p2=23, z=1.6646563039972788, z2=2.723824193850975, w=0.0010769304116557746, w2=0.0010221910378564111, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=26, p2=36, z=0.5124453858961806, z2=3.033066154267665, w=0.001089041402485902, w2=0.0010447120539327057, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=40, p2=23, z=0.32395744469881105, z2=1.7170399742261542, w=0.0010957823438207046, w2=0.0010502905747911996, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=31, p2=29, z=2.117047499094377, z2=1.1585073933454892, w=0.0010756882518021004, w2=0.001046887390697661, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=31, p2=31, z=1.9147936415730964, z2=2.676368146870411, w=0.0010821136995620595, w2=0.0010051179905750255, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=39, p2=22, z=2.2550570905851046, z2=3.4982853823848585, w=0.0010059150651321044, w2=0.0010285876720290874, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=33, p2=29, z=2.5265726464433453, z2=0.4834098263270492, w=0.0010828607702241355, w2=0.001083694065547733, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=34, p2=27, z=0.8292645080231646, z2=1.0389574684746365, w=0.001097922051022722, w2=0.0010303975439904776, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=33, p2=29, z=0.8340674426339628, z2=0.8394389824278065, w=0.0010060377216185982, w2=0.0010767084300996462, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=37, p2=24, z=1.8738074262652582, z2=0.659863960891413, w=0.0010535069150262456, w2=0.0010870017981929262, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=32, p2=28, z=2.094178295113974, z2=1.8263416621807098, w=0.0010993473924454876, w2=0.0010022454091226302, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=33, p2=28, z=2.591676297249682, z2=1.5574992196098623, w=0.0010986300500673508, w2=0.0010653849117300928, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=36, p2=24, z=1.8092747596913528, z2=0.34099130451290466, w=0.001052080253657259, w2=0.0010901030447685164, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=34, p2=29, z=2.433087342513749, z2=2.0095773309519895, w=0.0010253592888013697, w2=0.0010371702314735652, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=28, p2=34, z=3.7705375043811524, z2=0.6596373684355541, w=0.0010687927345745122, w2=0.0010695281250423818, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=25, p2=35, z=2.622560894307818, z2=0.44319286221762544, w=0.0010716165412699868, w2=0.001032201877978432, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=33, p2=28, z=1.3712926759111037, z2=2.5840325462396323, w=0.0010919546297141808, w2=0.0010711682889085906, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=20, p2=40, z=3.544983264697923, z2=2.3376026182692473, w=0.001060180399710405, w2=0.001012285063608137, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=38, p2=22, z=0.7824880675856624, z2=1.3123084031527124, w=0.0010713230343221856, w2=0.0010831902638090607, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=38, p2=24, z=0.8286408242579196, z2=2.407849634415941, w=0.0010600189098715865, w2=0.0010659524951335856, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=27, p2=34, z=2.3753062087712054, z2=2.178226917148099, w=0.0010741202038583827, w2=0.0010039985010555736, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=35, p2=25, z=0.6967396666356405, z2=3.2822472714241644, w=0.0010556150885937224, w2=0.001045531723152967, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=30, p2=31, z=0.7154825548373198, z2=3.832518885390365, w=0.0010998892963198352, w2=0.00100509005429176, val_np=(nan+nanj), val_jax=(nan+nanj)
